index,product,category,sub_category,brand,sale_price,market_price,type,rating,Stock Quantity,Reorder Level,Supplier Info,Lead Time (Days),Last Restock Date,Units Sold,avg_daily_demand,safety_stock,reorder_level,holding_cost,eoq,status,recommendation
15106,Himalayan Pink Salt,Gourmet & World Food,Cooking & Baking Needs,Graminway,49,49,Exotic Sugar & Salt,4.2,54,,Supplier C,4,15:10.5,38,1.266666667,0,5,9.8,28,Adequate,Stock adequate. Review in 39 days
160,Skin Cream,Beauty & Hygiene,Skin Care,Aloederm,112.5,150,Face Care,3.1,57,,Supplier A,6,15:10.5,12,0.4,0,3,30,9,Adequate,Stock adequate. Review in 135 days
20981,Single Line Spiral Book 21x29.7 cm,Cleaning & Household,Stationery,Navneet Youva,76,80,"Notebooks, Files, Folders",3.2,74,,Supplier A,10,15:10.5,45,1.5,1,16,16,24,Adequate,Stock adequate. Review in 39 days
27428,Jowar Flakes - With Honey & Almonds,Snacks & Branded Foods,Breakfast Cereals,True Elements,195,195,Flakes,4.2,77,,Supplier C,4,15:10.5,6,0.2,0,1,39,6,Adequate,Stock adequate. Review in 380 days
3329,Rice Vinegar - Imported,Gourmet & World Food,Oils & Vinegar,Kikkoman,395,395,Wine & Rice Vinegar,,77,,Supplier C,4,15:10.5,41,1.366666667,0,6,79,10,Adequate,Stock adequate. Review in 52 days
3789,"Body Wash - Lavender & Almond Oil, Nourishing & Moisturising Shower Crème",Beauty & Hygiene,Bath & Hand Wash,Vivel,99,99,Shower Gel & Body Wash,4.2,19,,Supplier C,10,15:10.5,47,1.566666667,1,16,19.8,22,Adequate,Stock adequate. Review in 2 days
5175,Natural Body Butter,Beauty & Hygiene,Skin Care,The Moms Co,321,429,Body Care,4.3,93,,Supplier A,12,15:10.5,17,0.566666667,0,7,85.8,6,Adequate,Stock adequate. Review in 152 days
13175,Baby Carrots - Petits Pois & Whole,Gourmet & World Food,Tinned & Processed Food,Epicure,250,250,Tomatoes & Vegetables,,31,,Supplier B,7,15:10.5,17,0.566666667,0,4,50,8,Adequate,Stock adequate. Review in 48 days
11200,"Roasted Namkeen - Flaxseed, Chili, Lime",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,99,149,"Healthy, Baked Snacks",,46,,Supplier C,5,15:10.5,11,0.366666667,0,2,29.8,9,Adequate,Stock adequate. Review in 120 days
6644,Baby Hair Oil - Avocado & Pro-Vitamin B's,Baby Care,Baby Bath & Hygiene,Johnson's baby,80,80,Baby Oil & Shampoo,4.4,97,,Supplier B,14,15:10.5,6,0.2,0,3,16,9,Adequate,Stock adequate. Review in 470 days
18896,PowerWhite Anti-Pollution Brightening Moisturiser,Beauty & Hygiene,Men's Grooming,Garnier Men,211.65,249,Face & Body,4.2,80,,Supplier B,3,15:10.5,24,0.8,0,3,49.8,10,Adequate,Stock adequate. Review in 96 days
5785,Post It - 3 x 5 Inches,Cleaning & Household,Stationery,Oddy ,56,57,"Scissor, Glue & Tape",4.2,98,,Supplier A,14,15:10.5,48,1.6,1,23,11.4,29,Adequate,Stock adequate. Review in 47 days
12392,Mustard Oil - Panchphoran,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Nutty Yogi,199,199,Soya & Mustard Oils,3.8,98,,Supplier A,6,15:10.5,4,0.133333333,0,1,39.8,4,Adequate,Stock adequate. Review in 728 days
25871,Meat Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,112.84,150,Blended Masalas,4.1,22,,Supplier B,5,15:10.5,39,1.3,0,7,30,16,Adequate,Stock adequate. Review in 12 days
6961,Body Spray - Voyage,Beauty & Hygiene,Fragrances & Deos,Park avenue,216,240,Men's Deodorants,4.1,68,,Supplier A,7,15:10.5,49,1.633333333,1,12,48,14,Adequate,Stock adequate. Review in 34 days
3721,"Spring File - Fullscape, Multicolour, 315",Cleaning & Household,Stationery,Ravi,125,125,"Notebooks, Files, Folders",3.6,75,,Supplier C,3,15:10.5,19,0.633333333,0,2,25,12,Adequate,Stock adequate. Review in 115 days
20421,Soft Drink - With Real Lemon Juice,Beverages,Fruit Juices & Drinks,7 Up Nimbooz,20,20,Juices,,49,,Supplier C,3,15:10.5,31,1.033333333,0,3,4,39,Adequate,Stock adequate. Review in 45 days
12806,Baby Corn - Sweet & Sour,Gourmet & World Food,Tinned & Processed Food,Hugo Reitzel ,174.25,205,Tomatoes & Vegetables,4.1,97,,Supplier B,13,15:10.5,17,0.566666667,0,8,41,9,Adequate,Stock adequate. Review in 157 days
26254,"Tablet - Organic, Tulsi, 750 mg, USDA Certified",Gourmet & World Food,Cooking & Baking Needs,Geo-Fresh,455,455,"Herbs, Seasonings & Rubs",,56,,Supplier B,12,15:10.5,32,1.066666667,1,13,91,8,Adequate,Stock adequate. Review in 40 days
15659,Matic 3-in-1 PODs Detergent Pack,Cleaning & Household,Detergents & Dishwash,Ariel ,336.96,432,"Detergent Powder, Liquid",4.2,98,,Supplier C,14,15:10.5,43,1.433333333,1,21,86.4,10,Adequate,Stock adequate. Review in 54 days
18907,Bottle Brush With Sponge,Cleaning & Household,"Mops, Brushes & Scrubs",Magix,72,72,Toilet & Other Brushes,3.9,91,,Supplier C,6,15:10.5,48,1.6,1,10,14.4,26,Adequate,Stock adequate. Review in 51 days
469,Moisturizing Body Bath - Green Tea & Milk,Beauty & Hygiene,Bath & Hand Wash,Skin Cottage ,279,279,Shower Gel & Body Wash,,47,,Supplier B,11,15:10.5,22,0.733333333,0,8,55.8,9,Adequate,Stock adequate. Review in 53 days
2837,Cold Brew Coffee Packs (Dark Roast),Gourmet & World Food,Drinks & Beverages,Sleepy Owl,400,500,Coffee & Pre-Mix,,35,,Supplier C,6,15:10.5,34,1.133333333,0,7,100,8,Adequate,Stock adequate. Review in 25 days
10843,Red Rajma/Capparadavare,"Foodgrains, Oil & Masala",Dals & Pulses,Super Saver,76,80,Urad & Other Dals,3.9,87,,Supplier A,3,15:10.5,11,0.366666667,0,1,16,12,Adequate,Stock adequate. Review in 235 days
11442,Pasta - Tofe 48,Gourmet & World Food,"Pasta, Soup & Noodles",Colavita,210,210,Pastas & Spaghetti,3.8,82,,Supplier A,7,15:10.5,45,1.5,1,11,42,15,Adequate,Stock adequate. Review in 47 days
129,Nutrition Plus Health Supplement - Joint Support,Beauty & Hygiene,Health & Medicine,Abbies,1299,1299,Supplements & Proteins,,19,,Supplier B,7,15:10.5,32,1.066666667,0,8,259.8,5,Adequate,Stock adequate. Review in 10 days
9714,Double Cheddar Pasta Sauce,Gourmet & World Food,"Sauces, Spreads & Dips",Ragu,450,450,Mustard & Cheese Sauces,3.9,30,,Supplier A,3,15:10.5,20,0.666666667,0,2,90,7,Adequate,Stock adequate. Review in 42 days
14501,Sesame Oil,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Patanjali,65,65,Other Edible Oils,4.2,90,,Supplier B,5,15:10.5,3,0.1,0,1,13,7,Adequate,Stock adequate. Review in 890 days
14404,"Farm Eggs - Jumbo, Large, Antibiotic Residue-Free","Eggs, Meat & Fish",Eggs,Fresho,75,85,Farm Eggs,,79,,Supplier A,14,15:10.5,20,0.666666667,0,10,17,15,Adequate,Stock adequate. Review in 104 days
5093,"Face Pack - Bio Fruit Spot Lightening, Bxl Cellular",Beauty & Hygiene,Skin Care,BIOTIQUE,749.25,999,Face Care,,89,,Supplier A,8,15:10.5,32,1.066666667,1,9,199.8,6,Adequate,Stock adequate. Review in 75 days
5866,"Aam Salaam Iced Tea With Mango, Mint & Cumin",Beverages,Energy & Soft Drinks,Karma Kettle,300,300,"Icetea, Non Aerated Drink",,57,,Supplier B,8,15:10.5,20,0.666666667,0,6,60,8,Adequate,Stock adequate. Review in 76 days
16187,Oil - Kesh Kanti,Beauty & Hygiene,Hair Care,Patanjali,130,130,Hair Oil & Serum,4.4,74,,Supplier C,11,15:10.5,40,1.333333333,1,15,26,18,Adequate,Stock adequate. Review in 44 days
5027,Total Effects 7-In-1 - Anti-Ageing Night Skin Cream,Beauty & Hygiene,Skin Care,Olay,363,399,Face Care,4,92,,Supplier B,5,15:10.5,40,1.333333333,0,7,79.8,10,Adequate,Stock adequate. Review in 64 days
529,Greek Yogurt Smoothie - Strawberry,Gourmet & World Food,Drinks & Beverages,Epigamia ,49,70,Milk & Soya Drinks,4,98,,Supplier B,10,15:10.5,34,1.133333333,1,12,14,22,Adequate,Stock adequate. Review in 76 days
25255,"Romance Aromatherapy Diffuser Oil - Orange, Rose, Jasmine & Melissa",Beauty & Hygiene,Skin Care,Oriental Botanics,899,899,Aromatherapy,,59,,Supplier C,14,15:10.5,45,1.5,1,22,179.8,7,Adequate,Stock adequate. Review in 25 days
12656,Pure Camphor,Cleaning & Household,Pooja Needs,Mangalam,45,45,Camphor & Wicks,4.3,39,,Supplier A,6,15:10.5,45,1.5,1,10,9,32,Adequate,Stock adequate. Review in 19 days
941,Organic - Whole Wheat Ajwain Jaggery Teething Sticks,Baby Care,Baby Food & Formula,Early Foods,175,175,Organic Baby Food,3.9,29,,Supplier B,9,15:10.5,31,1.033333333,1,10,35,13,Adequate,Stock adequate. Review in 18 days
25414,Active Care Lip Balm - SPF For 24h Moisture,Beauty & Hygiene,Men's Grooming,Nivea Men,114.8,140,Face & Body,4.2,29,,Supplier B,4,15:10.5,40,1.333333333,0,6,28,17,Adequate,Stock adequate. Review in 17 days
7299,Arabica Espresso Filter Coffee - Roast & Ground Strong,Gourmet & World Food,Drinks & Beverages,Colombian Brew Coffee,299,299,Coffee & Pre-Mix,,24,,Supplier B,3,15:10.5,13,0.433333333,0,1,59.8,7,Adequate,Stock adequate. Review in 53 days
24874,All Natural Honey Peanut Butter - Crunchy,Gourmet & World Food,"Sauces, Spreads & Dips",Pintola,166.96,185,"Chocolate, Peanut Spread",3.7,49,,Supplier A,5,15:10.5,17,0.566666667,0,3,37,10,Adequate,Stock adequate. Review in 81 days
24847,Multigrain Chips - Tangy Tomato,Snacks & Branded Foods,Snacks & Namkeen,Too Yumm!,18,20,Chips & Corn Snacks,4.1,42,,Supplier A,5,15:10.5,17,0.566666667,0,3,4,29,Adequate,Stock adequate. Review in 69 days
14478,Yearn Eau De Parfum Aquatic Perfume - Party Wear For Men,Beauty & Hygiene,Fragrances & Deos,Ajmal,1005,1500,Eau De Parfum,2,75,,Supplier C,8,15:10.5,7,0.233333333,0,2,300,2,Adequate,Stock adequate. Review in 313 days
10912,Argan Hair Cream,Beauty & Hygiene,Hair Care,INATUR ,440,550,Hair & Scalp Treatment,5,19,,Supplier B,8,15:10.5,5,0.166666667,0,1,110,3,Adequate,Stock adequate. Review in 108 days
23433,Sundried Tomatoes,Gourmet & World Food,"Sauces, Spreads & Dips",Abbies,425,425,Thai & Asian Sauces,,67,,Supplier C,4,15:10.5,46,1.533333333,1,7,85,10,Adequate,Stock adequate. Review in 39 days
10506,Men Charcoal Face Mask,Beauty & Hygiene,Men's Grooming,INATUR ,270,450,Face & Body,5,42,,Supplier C,13,15:10.5,21,0.7,0,10,90,7,Adequate,Stock adequate. Review in 46 days
22001,Til/Ellu - White,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,135,250,Whole Spices,,41,,Supplier B,5,15:10.5,31,1.033333333,0,6,50,11,Adequate,Stock adequate. Review in 34 days
8352,Apricots,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",The Nibble Box,30,30,Dry Fruits & Berries,,84,,Supplier B,14,15:10.5,13,0.433333333,0,6,6,21,Adequate,Stock adequate. Review in 180 days
27065,Nuts & Seeds Trail Mix - Spicy Masala,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Yoga bar,400,400,"Healthy, Baked Snacks",,33,,Supplier C,11,15:10.5,34,1.133333333,1,13,80,9,Adequate,Stock adequate. Review in 18 days
15162,Red Curry Paste,Gourmet & World Food,Cooking & Baking Needs,Real Thai,510,510,"Curry Paste, Coconut Milk",3.4,45,,Supplier A,10,15:10.5,27,0.9,0,9,102,7,Adequate,Stock adequate. Review in 40 days
22312,Sona Masuri - Unpolished Rice/Akki,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Himalayan Natives,390,520,Raw Rice,3.3,85,,Supplier C,6,15:10.5,19,0.633333333,0,4,104,6,Adequate,Stock adequate. Review in 128 days
24922,Lal Mirchi Drop - Red Chilli,"Foodgrains, Oil & Masala",Masalas & Spices,Spice Liquid,145,145,Whole Spices,,65,,Supplier A,10,15:10.5,7,0.233333333,0,2,29,7,Adequate,Stock adequate. Review in 270 days
7586,Uniwrap Food Wrapping Paper - 11,Cleaning & Household,"Disposables, Garbage Bag",Oddy ,99,99,"Aluminium Foil, Clingwrap",4.2,38,,Supplier A,6,15:10.5,3,0.1,0,1,19.8,6,Adequate,Stock adequate. Review in 370 days
25518,"Toothbrush - 1 2 3, With Neem Extract, Soft",Beauty & Hygiene,Oral Care,Oral-B,99,99,Toothbrush,4.1,44,,Supplier C,4,15:10.5,27,0.9,0,4,19.8,17,Adequate,Stock adequate. Review in 44 days
9652,Organic Urad - Black (Whole),"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,134,134,Organic Dals & Pulses,3.6,10,,Supplier B,3,15:10.5,47,1.566666667,0,5,26.8,19,Adequate,Stock adequate. Review in 3 days
9427,Bio-Cell Firming Face Mask,Beauty & Hygiene,Skin Care,The Face Shop,300,300,Face Care,,10,,Supplier C,4,15:10.5,26,0.866666667,0,4,60,9,Adequate,Stock adequate. Review in 7 days
2903,Murabba Carrot,Gourmet & World Food,"Sauces, Spreads & Dips",Nutty Yogi,189,189,"Jams, Marmalade, Spreads",3,46,,Supplier C,3,15:10.5,14,0.466666667,0,2,37.8,9,Adequate,Stock adequate. Review in 94 days
11968,Cinnamon Licorice Herbal Infusion,Gourmet & World Food,Drinks & Beverages,Teamonk,280,400,Gourmet Tea & Tea Bags,,63,,Supplier A,11,15:10.5,28,0.933333333,1,11,80,8,Adequate,Stock adequate. Review in 56 days
18742,Pickle - Lime,Snacks & Branded Foods,Pickles & Chutney,Mother's Recipe,110,110,Lime & Mango Pickle,4.1,15,,Supplier C,11,15:10.5,38,1.266666667,1,15,22,19,Reorder,Place order for 19.0 units. Current stock (15) below reorder level (15)
20717,Chicken Seekh Kabab - Pahadi,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho,207.9,270,Chicken Sausages,,48,,Supplier B,13,15:10.5,46,1.533333333,1,21,54,13,Adequate,Stock adequate. Review in 18 days
22125,Multigrain Chips - Dahi Papdi Chaat,Snacks & Branded Foods,Snacks & Namkeen,Too Yumm!,45.9,60,Chips & Corn Snacks,4.1,27,,Supplier C,8,15:10.5,22,0.733333333,0,6,12,19,Adequate,Stock adequate. Review in 29 days
22905,"Bathroom Cleaner Liquid - Lemon 1 L + Toilet Cleaner - Bleach, White & Shine - 500 ml",Cleaning & Household,All Purpose Cleaners,Harpic,227.58,270,Toilet Cleaners,,89,,Supplier C,6,15:10.5,44,1.466666667,1,9,54,13,Adequate,Stock adequate. Review in 55 days
3283,Foot Spray,Beauty & Hygiene,Skin Care,INATUR ,320,400,Body Care,3.6,14,,Supplier A,13,15:10.5,6,0.2,0,3,80,4,Adequate,Stock adequate. Review in 55 days
21226,Mango Kombucha,Gourmet & World Food,Drinks & Beverages,Toyo Kombucha,95,95,"Aerated, Still, Sparkling",,52,,Supplier B,13,15:10.5,26,0.866666667,1,12,19,17,Adequate,Stock adequate. Review in 46 days
6692,Keto Dosa Mix,Gourmet & World Food,Cooking & Baking Needs,Ketofy,499,499,Flours & Pre-Mixes,2.9,68,,Supplier B,6,15:10.5,13,0.433333333,0,3,99.8,5,Adequate,Stock adequate. Review in 150 days
24826,"Whole Wheat Parota, 350 g + Malabar Parota, 350 g",Snacks & Branded Foods,Ready To Cook & Eat,iD Fresho,93.72,150,Frozen Indian Breads,,41,,Supplier A,4,15:10.5,7,0.233333333,0,1,30,7,Adequate,Stock adequate. Review in 171 days
25132,"Green Tea - Rose, Whole Leaf",Beverages,Tea,Octavius,320,320,Green Tea,3,11,,Supplier B,3,15:10.5,48,1.6,0,5,64,12,Adequate,Stock adequate. Review in 4 days
4965,Dark Roast Brew Coffee 135 g (Set of 3) + Dark Roast Brew Packs 255 g (Set of 5),Gourmet & World Food,Drinks & Beverages,Sleepy Owl,655,800,Coffee & Pre-Mix,,75,,Supplier B,9,15:10.5,10,0.333333333,0,3,160,4,Adequate,Stock adequate. Review in 216 days
2374,Organic Seeds - Black Mustard/Sasive,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,23.75,25,Organic Masalas & Spices,4.2,51,,Supplier C,4,15:10.5,11,0.366666667,0,2,5,21,Adequate,Stock adequate. Review in 134 days
